ID,Name,Parameter,Language,Frequency,Confidence,References
2-550-205-1,kus__'ri,cousin,Albanian (Tosk variety),,,
2-560-205-1,p_r_'nik_,ancestors,Albanian (Tosk variety),,,
2-560-205-3,g_ü___r0,ancestors,Albanian (Tosk variety),,,
2-570-205-1,tr____gim't_r_,descendants,Albanian (Tosk variety),,,
2-570-205-3,pas'ar__s,descendants,Albanian (Tosk variety),,,
2-610-205-1,'vyeh___,father-in-law (of a man),Albanian (Tosk variety),,,
2-620-205-1,'vyeh___,mother-in-law (of a man),Albanian (Tosk variety),,,
2-630-205-1,'__nd_r,son-in-law (of a man),Albanian (Tosk variety),,,
2-640-205-1,'nuse,daughter-in-law (of a man),Albanian (Tosk variety),,,
2-710-205-1,_erk,stepfather,Albanian (Tosk variety),,,
2-710-205-3,k_a'flor,stepfather,Albanian (Tosk variety),,,
2-710-205-5,vi't_rk,stepfather,Albanian (Tosk variety),,,
2-720-205-1,'_erk_,stepmother,Albanian (Tosk variety),,,
2-720-205-3,vit_r'ke___,stepmother,Albanian (Tosk variety),,,
2-730-205-1,'_ye__t_r,stepson,Albanian (Tosk variety),,,
2-730-205-3,po'st_rk,stepson,Albanian (Tosk variety),,,
2-730-205-5,bir i 'g_etur,stepson,Albanian (Tosk variety),,,
2-730-205-7,'dy_l__ i 'g_etur,stepson,Albanian (Tosk variety),,,
2-740-205-1,'biy_ e 'g_etur,stepdaughter,Albanian (Tosk variety),,,
2-740-205-3,'vayz_ e 'g_etur,stepdaughter,Albanian (Tosk variety),,,
2-750-205-1,bo'_ak,orphan,Albanian (Tosk variety),,,
2-750-205-3,bo'_ar,orphan,Albanian (Tosk variety),,,
2-750-205-5,ye'tim,orphan,Albanian (Tosk variety),,,
2-760-205-1,ve,widow,Albanian (Tosk variety),,,
2-770-205-1,ve'yan,widower,Albanian (Tosk variety),,,
2-770-205-3,ve,widower,Albanian (Tosk variety),,,
2-810-205-1,_er_'zi,"relatives, kinsmen",Albanian (Tosk variety),,,
2-820-205-1,fa'mil_ye,family,Albanian (Tosk variety),,,
2-910-205-1,'un_,I,Albanian (Tosk variety),,,
2-920-205-1,ti,you (singular),Albanian (Tosk variety),,,
2-930-205-1,a'i,he/she/it,Albanian (Tosk variety),,,
2-940-205-1,ne,we,Albanian (Tosk variety),,,
2-950-205-1,yu,you (plural),Albanian (Tosk variety),,,
2-960-205-1,a'ta,they,Albanian (Tosk variety),,,
2-960-205-3,a'to,they,Albanian (Tosk variety),,,
3-110-205-1,kafs__,animal,Albanian (Tosk variety),,,
3-110-205-3,bis__,animal,Albanian (Tosk variety),,,
3-120-205-1,'mas_kul,male (adj),Albanian (Tosk variety),,,
3-130-205-1,'fem_r,female (adj),Albanian (Tosk variety),,,
3-150-205-1,bag_'ti,livestock,Albanian (Tosk variety),,,
3-150-205-3,bl_egto'ri,livestock,Albanian (Tosk variety),,,
3-160-205-1,ku'lot_,pasture,Albanian (Tosk variety),,,
3-160-205-3,me'ra,pasture,Albanian (Tosk variety),,,
3-180-205-1,ba'ri,herdsman,Albanian (Tosk variety),,,
3-190-205-1,graz_d,"stable, stall",Albanian (Tosk variety),,,
3-190-205-3,ha'yat,"stable, stall",Albanian (Tosk variety),,,
3-200-205-1,g_e_,cattle (bovine),Albanian (Tosk variety),,,
3-200-205-3,bag_'ti e 'tra___,cattle (bovine),Albanian (Tosk variety),,,
3-210-205-1,mes_k,bull,Albanian (Tosk variety),,,
3-210-205-3,te'rak,bull,Albanian (Tosk variety),,,
3-220-205-1,ka,ox,Albanian (Tosk variety),,,
3-230-205-1,'l_op_,cow,Albanian (Tosk variety),,,
3-240-205-1,vic_,calf,Albanian (Tosk variety),,,
3-250-205-1,'del_e,sheep,Albanian (Tosk variety),,,
3-250-205-3,_en,sheep,Albanian (Tosk variety),,,
3-260-205-1,das_,ram,Albanian (Tosk variety),,,
3-280-205-1,'del_e,ewe,Albanian (Tosk variety),,,
3-290-205-1,k_eng_,lamb,Albanian (Tosk variety),,,
3-320-205-1,_i,boar,Albanian (Tosk variety),,,
3-340-205-1,'dos_,sow (2),Albanian (Tosk variety),,,
3-340-205-3,_i'ne___,sow (2),Albanian (Tosk variety),,,
3-350-205-1,der_,pig,Albanian (Tosk variety),,,
3-360-205-1,_i,goat,Albanian (Tosk variety),,,
3-370-205-1,c_yap,he-goat,Albanian (Tosk variety),,,
3-380-205-1,kec_,kid,Albanian (Tosk variety),,,
3-410-205-1,'kal__,horse (equine),Albanian (Tosk variety),,,
3-420-205-1,ham's_or,stallion,Albanian (Tosk variety),,,
3-420-205-3,at,stallion,Albanian (Tosk variety),,,
3-440-205-1,'pel__,mare,Albanian (Tosk variety),,,
3-450-205-1,m_z,"foal, colt",Albanian (Tosk variety),,,
3-460-205-1,go'mar,"ass, donkey",Albanian (Tosk variety),,,
3-460-205-3,ma'gar,"ass, donkey",Albanian (Tosk variety),,,
3-470-205-1,mus_k,mule,Albanian (Tosk variety),,,
3-500-205-1,s_pend,fowl,Albanian (Tosk variety),,,
3-520-205-1,g_el_,"cock, rooster",Albanian (Tosk variety),,,
3-540-205-1,'pul__,hen,Albanian (Tosk variety),,,
3-550-205-1,'pul__,chicken,Albanian (Tosk variety),,,
3-550-205-3,'kluk_,chicken,Albanian (Tosk variety),,,
3-560-205-1,'pat_,goose,Albanian (Tosk variety),,,
3-570-205-1,'ros_,duck,Albanian (Tosk variety),,,
3-580-205-1,'c_er_e,nest,Albanian (Tosk variety),,,
3-581-205-1,zog,bird,Albanian (Tosk variety),,,
3-582-205-1,pes_'kar,seagull,Albanian (Tosk variety),,,
3-582-205-3,sklop,seagull,Albanian (Tosk variety),,,
3-582-205-5,pul_'bar_a,seagull,Albanian (Tosk variety),,,
3-583-205-1,'c_afk_,heron,Albanian (Tosk variety),,,
3-583-205-3,'gat_,heron,Albanian (Tosk variety),,,
3-584-205-1,'s_k_ipe,eagle,Albanian (Tosk variety),,,
3-584-205-3,'s_kab_,eagle,Albanian (Tosk variety),,,
3-584-205-5,s_k_i'po__,eagle,Albanian (Tosk variety),,,
3-585-205-1,s_a'hin,hawk,Albanian (Tosk variety),,,
3-585-205-3,g_i'rak,hawk,Albanian (Tosk variety),,,
3-586-205-1,hut_'__oy_,vulture,Albanian (Tosk variety),,,
3-586-205-3,'grif_,vulture,Albanian (Tosk variety),,,
3-591-205-1,laku'rik_,bat,Albanian (Tosk variety),,,
3-591-205-3,golo'mes_,bat,Albanian (Tosk variety),,,
3-591-205-5,fl_et'rac_,bat,Albanian (Tosk variety),,,
3-592-205-1,papa'gal,parrot,Albanian (Tosk variety),,,
3-593-205-1,'sor__,crow,Albanian (Tosk variety),,,
3-593-205-3,ga'lof,crow,Albanian (Tosk variety),,,
3-594-205-1,kum'ri,dove,Albanian (Tosk variety),,,
3-594-205-3,p_'lumb,dove,Albanian (Tosk variety),,,
3-594-205-5,'vid_,dove,Albanian (Tosk variety),,,
3-596-205-1,buf,owl,Albanian (Tosk variety),,,
3-596-205-3,'hut_,owl,Albanian (Tosk variety),,,
3-596-205-5,k_ok_,owl,Albanian (Tosk variety),,,
3-610-205-1,k_en,dog,Albanian (Tosk variety),,,
3-614-205-1,'l_epur,rabbit,Albanian (Tosk variety),,,
3-620-205-1,'mac_e,cat,Albanian (Tosk variety),,,
3-630-205-1,mi,"mouse, rat",Albanian (Tosk variety),,,
3-650-205-1,pes_k,fish,Albanian (Tosk variety),,,
3-652-205-1,'pend_,fin (dorsal),Albanian (Tosk variety),,,
3-653-205-1,l__'vore,fishscale,Albanian (Tosk variety),,,
3-653-205-3,'kres_k_,fishscale,Albanian (Tosk variety),,,
3-653-205-5,l__'pisk_,fishscale,Albanian (Tosk variety),,,
3-653-205-7,'grisk_,fishscale,Albanian (Tosk variety),,,
3-654-205-1,'vel__z,gill,Albanian (Tosk variety),,,
3-655-205-1,gu'ask_,shell,Albanian (Tosk variety),,,
3-661-205-1,pes_kak_en,shark,Albanian (Tosk variety),,,
3-661-205-3,ska'_in_,shark,Albanian (Tosk variety),,,
3-661-205-5,u_l'zak,shark,Albanian (Tosk variety),,,
3-662-205-1,del_'fin,"porpoise, dolphin",Albanian (Tosk variety),,,
3-663-205-1,ba'l_en_,whale,Albanian (Tosk variety),,,
3-664-205-1,bis_t'mi,stingray,Albanian (Tosk variety),,,
3-664-205-3,bis_t'a_ake,stingray,Albanian (Tosk variety),,,
3-665-205-1,'ng_al__,freshwater eel,Albanian (Tosk variety),,,
3-710-205-1,uyk,wolf,Albanian (Tosk variety),,,
3-710-205-3,ul_k,wolf,Albanian (Tosk variety),,,
3-720-205-1,'l_uan,lion,Albanian (Tosk variety),,,
3-730-205-1,a'ri,bear,Albanian (Tosk variety),,,
3-740-205-1,'_elp_r,fox,Albanian (Tosk variety),,,
3-750-205-1,dre,deer,Albanian (Tosk variety),,,
3-760-205-1,may'mun,monkey,Albanian (Tosk variety),,,
3-770-205-1,ele'fant,elephant,Albanian (Tosk variety),,,
3-780-205-1,de've,camel,Albanian (Tosk variety),,,
3-780-205-3,ga'mile,camel,Albanian (Tosk variety),,,
3-810-205-1,'kand___,insect,Albanian (Tosk variety),,,
3-810-205-3,in'sekt,insect,Albanian (Tosk variety),,,
3-811-205-1,mor_,louse,Albanian (Tosk variety),,,
3-812-205-1,'___z,nit (louse egg),Albanian (Tosk variety),,,
3-812-205-3,'argul,nit (louse egg),Albanian (Tosk variety),,,
3-813-205-1,ples_t,flea,Albanian (Tosk variety),,,
3-814-205-1,l_ara'vi_e,centipede,Albanian (Tosk variety),,,
3-814-205-3,miria'pod_,centipede,Albanian (Tosk variety),,,
3-815-205-1,a'krep,scorpion,Albanian (Tosk variety),,,
3-815-205-3,sfurk_,scorpion,Albanian (Tosk variety),,,
3-815-205-5,p_r__olak,scorpion,Albanian (Tosk variety),,,
3-815-205-7,c_a'tal,scorpion,Albanian (Tosk variety),,,
3-815-205-9,grepc_,scorpion,Albanian (Tosk variety),,,
3-815-205-11,s_krap,scorpion,Albanian (Tosk variety),,,
3-816-205-1,bubu'r_ec_,cockroach,Albanian (Tosk variety),,,
3-816-205-3,a'bras_,cockroach,Albanian (Tosk variety),,,
3-817-205-1,milin'gon_,ant,Albanian (Tosk variety),,,
3-817-205-3,'miz_ '_eu,ant,Albanian (Tosk variety),,,
3-817-205-5,'mr_ag_,ant,Albanian (Tosk variety),,,
3-818-205-1,meri'mang_,spider,Albanian (Tosk variety),,,
3-819-205-1,'c_erg_,spider web,Albanian (Tosk variety),,,
3-819-205-3,'mak_,spider web,Albanian (Tosk variety),,,
3-819-205-5,c_eri'mang_,spider web,Albanian (Tosk variety),,,
3-819-205-7,s_trap,spider web,Albanian (Tosk variety),,,
3-819-205-9,pe'z_i__k_,spider web,Albanian (Tosk variety),,,
3-819-205-11,'end_z,spider web,Albanian (Tosk variety),,,
3-819-205-13,paya'z_in_,spider web,Albanian (Tosk variety),,,
3-820-205-1,'blet_,bee,Albanian (Tosk variety),,,
3-821-205-1,'du_l__,beeswax,Albanian (Tosk variety),,,
3-822-205-1,'zg_ua,beehive,Albanian (Tosk variety),,,
3-822-205-3,ko'rube,beehive,Albanian (Tosk variety),,,
3-822-205-5,'k_eng__,beehive,Albanian (Tosk variety),,,
3-823-205-1,'grer_z,wasp,Albanian (Tosk variety),,,
3-823-205-3,'ar_z,wasp,Albanian (Tosk variety),,,
3-830-205-1,'miz_,fly,Albanian (Tosk variety),,,
3-831-205-1,pic_'kat_,"sandfly (midge), gnat",Albanian (Tosk variety),,,
3-832-205-1,mus_'ko__,mosquito,Albanian (Tosk variety),,,
3-832-205-3,pic_'kat_,mosquito,Albanian (Tosk variety),,,
3-840-205-1,krimb,worm,Albanian (Tosk variety),,,
3-850-205-1,'gyarp_r,snake,Albanian (Tosk variety),,,
3-850-205-3,'bol_,snake,Albanian (Tosk variety),,,
3-850-205-5,su'val_,snake,Albanian (Tosk variety),,,
3-850-205-7,s_i'g_etul,snake,Albanian (Tosk variety),,,
3-910-205-1,d_zid_z_'loy_,firefly,Albanian (Tosk variety),,,
3-920-205-1,'fl_utur,butterfly,Albanian (Tosk variety),,,
3-930-205-1,kark_'l_ec_,grasshopper,Albanian (Tosk variety),,,
3-940-205-1,k_r'mil,snail,Albanian (Tosk variety),,,
3-940-205-3,l_iga'vec_,snail,Albanian (Tosk variety),,,
3-950-205-1,bret'koc__,frog,Albanian (Tosk variety),,,
3-950-205-3,bretk,frog,Albanian (Tosk variety),,,
3-950-205-5,'z_ab_,frog,Albanian (Tosk variety),,,
3-960-205-1,'har_ye,lizard,Albanian (Tosk variety),,,
3-960-205-3,z_a'pi,lizard,Albanian (Tosk variety),,,
3-960-205-5,gus_'ter,lizard,Albanian (Tosk variety),,,
3-970-205-1,kroko'dil_,"crocodile, alligator",Albanian (Tosk variety),,,
3-980-205-1,'bres_k_,turtle,Albanian (Tosk variety),,,
4-110-205-1,trup,body,Albanian (Tosk variety),,,
4-110-205-3,s_tat,body,Albanian (Tosk variety),,,
4-120-205-1,l__'kur_,"skin, hide",Albanian (Tosk variety),,,
4-130-205-1,mis_,flesh,Albanian (Tosk variety),,,
4-140-205-1,'fl_ok_,hair (head),Albanian (Tosk variety),,,
4-140-205-3,l_e__,hair (head),Albanian (Tosk variety),,,
4-142-205-1,'myek_r,beard,Albanian (Tosk variety),,,
4-144-205-1,l_e__,body hair,Albanian (Tosk variety),,,
4-144-205-3,'k_ime,body hair,Albanian (Tosk variety),,,
4-145-205-1,l_e__,pubic hair,Albanian (Tosk variety),,,
4-145-205-3,pu'bis,pubic hair,Albanian (Tosk variety),,,
4-146-205-1,zbok_,dandruff,Albanian (Tosk variety),,,
4-146-205-3,pah,dandruff,Albanian (Tosk variety),,,
4-146-205-5,pal,dandruff,Albanian (Tosk variety),,,
4-146-205-7,vrok_,dandruff,Albanian (Tosk variety),,,
4-146-205-9,'r_yep_,dandruff,Albanian (Tosk variety),,,
4-150-205-1,g_ak,blood,Albanian (Tosk variety),,,
4-151-205-1,da'mar,"vein, artery",Albanian (Tosk variety),,,
4-160-205-1,'koc_k_,bone,Albanian (Tosk variety),,,
4-162-205-1,'bri__,rib,Albanian (Tosk variety),,,
4-170-205-1,bri,horn,Albanian (Tosk variety),,,
4-180-205-1,bis_t,tail,Albanian (Tosk variety),,,
4-190-205-1,s_pin_,back,Albanian (Tosk variety),,,
4-190-205-3,kur_iz,back,Albanian (Tosk variety),,,
4-191-205-1,'pos_ti i ku'__iz,spine,Albanian (Tosk variety),,,
4-200-205-1,'kok_,head,Albanian (Tosk variety),,,
4-200-205-3,'kru_e,head,Albanian (Tosk variety),,,
4-201-205-1,t_m_,"side of head, temple",Albanian (Tosk variety),,,
4-201-205-3,'t_mbl__,"side of head, temple",Albanian (Tosk variety),,,
4-202-205-1,'kafk_,skull,Albanian (Tosk variety),,,
4-202-205-3,r_a'dake,skull,Albanian (Tosk variety),,,
4-202-205-5,su'tak,skull,Albanian (Tosk variety),,,
4-202-205-7,por'c_ek,skull,Albanian (Tosk variety),,,
4-203-205-1,tru,brain,Albanian (Tosk variety),,,
4-204-205-1,fu_'tür_5,face,Albanian (Tosk variety),,,
4-205-205-1,'bal_,forehead,Albanian (Tosk variety),,,
4-207-205-1,'noful,jaw,Albanian (Tosk variety),,,
4-207-205-3,c__'ul_,jaw,Albanian (Tosk variety),,,
4-208-205-1,'fak_e,cheek,Albanian (Tosk variety),,,
4-209-205-1,'myek_r,chin,Albanian (Tosk variety),,,
4-210-205-1,su_,eye,Albanian (Tosk variety),,,
4-212-205-1,'vetul,eyebrow,Albanian (Tosk variety),,,
4-213-205-1,k_e'pal_,eyelid,Albanian (Tosk variety),,,
4-213-205-3,'as_k_,eyelid,Albanian (Tosk variety),,,
4-214-205-1,k_er'pik,eyelash,Albanian (Tosk variety),,,
4-220-205-1,ves_,ear,Albanian (Tosk variety),,,
4-221-205-1,'pal__z,earlobe,Albanian (Tosk variety),,,
4-221-205-3,l__'put_,earlobe,Albanian (Tosk variety),,,
4-222-205-1,ma'kros_,earwax,Albanian (Tosk variety),,,
4-230-205-1,'hund_,nose,Albanian (Tosk variety),,,
4-231-205-1,'fl_eg_r,nostril,Albanian (Tosk variety),,,
4-231-205-3,'hoy_z,nostril,Albanian (Tosk variety),,,
4-232-205-1,k_u__a,mucus (nasal),Albanian (Tosk variety),,,
4-240-205-1,'goy_,mouth,Albanian (Tosk variety),,,
4-241-205-1,sk_ep,beak,Albanian (Tosk variety),,,
4-250-205-1,'buz_,lip,Albanian (Tosk variety),,,
4-260-205-1,'g_uh_,tongue,Albanian (Tosk variety),,,
4-270-205-1,__mb,tooth,Albanian (Tosk variety),,,
4-271-205-1,'tru_sa,gums,Albanian (Tosk variety),,,
4-271-205-3,'mis_i i __mb_ve,gums,Albanian (Tosk variety),,,
4-272-205-1,__m'bal_,molartooth,Albanian (Tosk variety),,,
4-280-205-1,'k_af_,neck,Albanian (Tosk variety),,,
4-281-205-1,'k__f_,nape of neck,Albanian (Tosk variety),,,
4-281-205-3,zverk,nape of neck,Albanian (Tosk variety),,,
4-290-205-1,fu_t,throat,Albanian (Tosk variety),,,
4-290-205-3,'gru_k_,throat,Albanian (Tosk variety),,,
4-300-205-1,sup,shoulder,Albanian (Tosk variety),,,
4-301-205-1,'s_patul,shoulderblade,Albanian (Tosk variety),,,
4-302-205-1,'krapye,collarbone,Albanian (Tosk variety),,,
4-310-205-1,krah,arm,Albanian (Tosk variety),,,
4-312-205-1,'sk_etul,armpit,Albanian (Tosk variety),,,
4-320-205-1,b___ül2,elbow,Albanian (Tosk variety),,,
4-321-205-1,bu_zü'l_ük1o,wrist,Albanian (Tosk variety),,,
4-321-205-3,ku___ i 'dor_s,wrist,Albanian (Tosk variety),,,
4-330-205-1,'dor_,hand,Albanian (Tosk variety),,,
4-331-205-1,p_'l_mb_,palm of hand,Albanian (Tosk variety),,,
